"charlson_comorbidity";"ancestor_concept_id";"charlson_weight";"descendant_concept_id"
"1";"Myocardial_Infarction";4329847;1;3661643
"2";"Myocardial_Infarction";4329847;1;4270024
"3";"Myocardial_Infarction";4329847;1;3654467
"4";"Myocardial_Infarction";4329847;1;3661504
"5";"Myocardial_Infarction";4329847;1;4121467
"6";"Myocardial_Infarction";4329847;1;46270159
"7";"Myocardial_Infarction";4329847;1;3661641
"8";"Myocardial_Infarction";4329847;1;438438
"9";"Myocardial_Infarction";4329847;1;4051874
"10";"Myocardial_Infarction";4329847;1;44782769
"11";"Myocardial_Infarction";4329847;1;4170094
"12";"Myocardial_Infarction";4329847;1;4121465
"13";"Myocardial_Infarction";4329847;1;4119948
"14";"Myocardial_Infarction";4329847;1;765132
"15";"Myocardial_Infarction";4329847;1;436706
"16";"Myocardial_Infarction";4329847;1;3661645
"17";"Myocardial_Infarction";4329847;1;4296653
"18";"Myocardial_Infarction";4329847;1;4119944
"19";"Myocardial_Infarction";4329847;1;4126801
"20";"Myocardial_Infarction";4329847;1;46270160
"21";"Myocardial_Infarction";4329847;1;45766150
"22";"Myocardial_Infarction";4329847;1;4108217
"23";"Myocardial_Infarction";4329847;1;4119943
"24";"Myocardial_Infarction";4329847;1;319039
"25";"Myocardial_Infarction";4329847;1;4030582
"26";"Myocardial_Infarction";4329847;1;4173632
"27";"Myocardial_Infarction";4329847;1;444406
"28";"Myocardial_Infarction";4329847;1;3654466
"29";"Myocardial_Infarction";4329847;1;4121464
"30";"Myocardial_Infarction";4329847;1;46273495
"31";"Myocardial_Infarction";4329847;1;4119457
"32";"Myocardial_Infarction";4329847;1;3655133
"33";"Myocardial_Infarction";4329847;1;45766241
"34";"Myocardial_Infarction";4329847;1;4138833
"35";"Myocardial_Infarction";4329847;1;438447
"36";"Myocardial_Infarction";4329847;1;4124686
"37";"Myocardial_Infarction";4329847;1;4243372
"38";"Myocardial_Infarction";4329847;1;4119946
"39";"Myocardial_Infarction";4329847;1;4124685
"40";"Myocardial_Infarction";4329847;1;3661524
"41";"Myocardial_Infarction";4329847;1;4206867
"42";"Myocardial_Infarction";4329847;1;4207921
"43";"Myocardial_Infarction";4329847;1;3661644
"44";"Myocardial_Infarction";4329847;1;4108677
"45";"Myocardial_Infarction";4329847;1;3661646
"46";"Myocardial_Infarction";4329847;1;4119947
"47";"Myocardial_Infarction";4329847;1;761736
"48";"Myocardial_Infarction";4329847;1;441579
"49";"Myocardial_Infarction";4329847;1;35610089
"50";"Myocardial_Infarction";4329847;1;312327
"51";"Myocardial_Infarction";4329847;1;3661547
"52";"Myocardial_Infarction";4329847;1;4209541
"53";"Myocardial_Infarction";4329847;1;37309626
"54";"Myocardial_Infarction";4329847;1;3661503
"55";"Myocardial_Infarction";4329847;1;3661502
"56";"Myocardial_Infarction";4329847;1;4215259
"57";"Myocardial_Infarction";4329847;1;45766075
"58";"Myocardial_Infarction";4329847;1;4121468
"59";"Myocardial_Infarction";4329847;1;4303359
"60";"Myocardial_Infarction";4329847;1;4323202
"61";"Myocardial_Infarction";4329847;1;4145721
"62";"Myocardial_Infarction";4329847;1;434376
"63";"Myocardial_Infarction";4329847;1;438170
"64";"Myocardial_Infarction";4329847;1;45766115
"65";"Myocardial_Infarction";4329847;1;3661520
"66";"Myocardial_Infarction";4329847;1;761737
"67";"Myocardial_Infarction";4329847;1;4275436
"68";"Myocardial_Infarction";4329847;1;45766076
"69";"Myocardial_Infarction";4329847;1;35611570
"70";"Myocardial_Infarction";4329847;1;4119949
"71";"Myocardial_Infarction";4329847;1;45766114
"72";"Myocardial_Infarction";4329847;1;46270162
"73";"Myocardial_Infarction";4329847;1;4151046
"74";"Myocardial_Infarction";4329847;1;4267568
"75";"Myocardial_Infarction";4329847;1;46274044
"76";"Myocardial_Infarction";4329847;1;45766151
"77";"Myocardial_Infarction";4329847;1;45766113
"78";"Myocardial_Infarction";4329847;1;4108669
"79";"Myocardial_Infarction";4329847;1;45771322
"80";"Myocardial_Infarction";4329847;1;4329847
"81";"Myocardial_Infarction";4329847;1;35610091
"82";"Myocardial_Infarction";4329847;1;44782712
"83";"Myocardial_Infarction";4329847;1;439693
"84";"Myocardial_Infarction";4329847;1;4124684
"85";"Myocardial_Infarction";4329847;1;45773170
"86";"Myocardial_Infarction";4329847;1;4324413
"87";"Myocardial_Infarction";4329847;1;45766116
"88";"Myocardial_Infarction";4329847;1;4178129
"89";"Myocardial_Infarction";4329847;1;4108218
"90";"Myocardial_Infarction";4329847;1;43020460
"91";"Myocardial_Infarction";4329847;1;3654465
"92";"Myocardial_Infarction";4329847;1;35610087
"93";"Myocardial_Infarction";4329847;1;4200113
"94";"Myocardial_Infarction";4329847;1;4119945
"95";"Myocardial_Infarction";4329847;1;4119456
"96";"Myocardial_Infarction";4329847;1;4121466
"97";"Myocardial_Infarction";4329847;1;3661642
"98";"Myocardial_Infarction";4329847;1;4119950
"99";"Myocardial_Infarction";4329847;1;314666
"100";"Myocardial_Infarction";4329847;1;35611571
"101";"Myocardial_Infarction";4329847;1;46270161
"102";"Myocardial_Infarction";4329847;1;46270158
"103";"Myocardial_Infarction";4329847;1;46270163
"104";"Myocardial_Infarction";4329847;1;46270164
"105";"Myocardial_Infarction";4329847;1;35610093
"106";"Congestive_Heart_Failure";316139;1;4108244
"107";"Congestive_Heart_Failure";316139;1;43021840
"108";"Congestive_Heart_Failure";316139;1;43021736
"109";"Congestive_Heart_Failure";316139;1;4193236
"110";"Congestive_Heart_Failure";316139;1;764872
"111";"Congestive_Heart_Failure";316139;1;40480603
"112";"Congestive_Heart_Failure";316139;1;4233224
"113";"Congestive_Heart_Failure";316139;1;45766166
"114";"Congestive_Heart_Failure";316139;1;36716182
"115";"Congestive_Heart_Failure";316139;1;4327205
"116";"Congestive_Heart_Failure";316139;1;43021735
"117";"Congestive_Heart_Failure";316139;1;36712927
"118";"Congestive_Heart_Failure";316139;1;764877
"119";"Congestive_Heart_Failure";316139;1;43021825
"120";"Congestive_Heart_Failure";316139;1;4199500
"121";"Congestive_Heart_Failure";316139;1;4284562
"122";"Congestive_Heart_Failure";316139;1;4079695
